MH,FITNESS
EHO,-1290.0
EHO,-802.0
EHO,-1830.0
EHO,-2330.0
EHO,-1450.0
EHO,-1450.0
EHO,-2290.0
EHO,-4740.0
EHO,-4150.0
EHO,-4940.0
